Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Este copo contém água.	ÁGUA COPO ESTE CONTER
Essa água tem gosto bom.	BOM ÁGUA ESSE GOSTO TER
Areia seca absorve água.	AREIA SECO ÁGUA ABSORVER
Não há nada tão importante quanto a amizade.	TÃO IMPORTANTE NADA AMIZADE HAVER (NÃO)
A amizade é uma planta que precisa ser regada frequentemente.	FREQUENTE PLANTA AMIZADE REGAR PRECISAR
Eu me liguei a ele por meio de uma estreita amizade.	ESTREITO EU AMIZADE DELE LIGAR
Amizade legítima vale mais que dinheiro.	LEGÍTIMO AMIZADE DINHEIRO MAIS VALER
Nós aprofundamos nossa amizade.	NÓS AMIZADE NOSSO APROFUNDAR
Este livro é um livro novo.	LIVRO ESTE NOVO LIVRO
Onde está o livro?	LIVRO ONDE (NÃO)
Quem escreveu este livro?	ESTE LIVRO ESCREVER QUEM (NÃO)
Qual livro é teu?	LIVRO TEU QUAL (NÃO)
Não há nada como o verão e um sorvete.	COMO NADA VERÃO SORVETE HAVER (NÃO)
Às vezes eu gozo do meu tempo livre pescando.	ÀS VEZES MEU EU TEMPO PESCAR GOZAR
Eu peço profusas desculpas por meu atraso.	EU PROFUSAS DESCULPAS ATRASO MEU PEDIR
O cavalheiro é um pianista muito famoso.	CAVALHEIRO FAMOSO PIANISTA
Em que você está trabalhando?	{VOCÊ TRABALHAR}(q)
Eu devo ir para Nova Iorque na próxima semana.	EU NOVA IORQUE SEMANA PRÓXIMO IR DEVER
Ele foi morto na guerra.	ELE GUERRA MATAR
Este relógio é de grande valor.	RELÓGIO ESTE GRANDE VALOR
Ela aparentava haver ficado doente de cama por anos.	DOENTE CAMA ANOS FICAR ELE APARENTAR
Por favor mantenha segredo.	FAVOR SEGREDO ELE MANTER
Você não deve falar de boca cheia.	VOCÊ BOCA CHEIO FALAR DEVER (NÃO)
Ela está pensando em fazer alguns cursos em uma escola de culinária.	ALGUM CURSOS ESCOLA CULINÁRIA FAZER PENSAR
Eu esqueci completamente do número.	COMPLETAMENTE EU NÚMERO ESQUECER
Muitos voos foram cancelados devido o tufão.	TUFÃO VOOS MUITOS CANCELAR
Ela trouxe alguma carne e ovos, de forma a poder fazer omeletes.	ALGUM CARNE EU TRAZER OVOS OMELETES FAZER PODER
Eu não sei como utilizar isto.	COMO EU UTILIZAR ELE NÃO_SABER {NÃO}(headshake)
Se você está errado, eu também estou errado.	TAMBÉM SE VOCÊ EU ERRAR ERRAR ESTAR
Em um primeiro momento eu não gostava de rock, mas agora eu gosto.	PRIMEIRO EU MOMENTO ROCK GOSTAR NÃO MAS AGORA EU GOSTAR (NÃO)
Eu o vi nadar através do rio.	ATRAVÉS EU O RIO NADAR VER
Ele virá nesta tarde.	ELE ESTE TARDE VIR
Ela está de cama com um resfriado.	CAMA RESFRIADO
É perigoso para você viajar só por um país estrangeiro.	SÓ PERIGOSO VOCÊ VIAJAR PAÍS ESTRANGEIRO
Várias árvores foram cortadas.	ÁRVORES VÁRIOS CORTAR
Por que a vida é tão cheia de sofrimentos?	{TÃO VIDA CHEIO SOFRIMENTO}(q)
A linguagem tal qual nós a conhecemos é uma invenção humana.	TAL LINGUAGEM NÓS A HUMANO INVENÇÃO CONHECER
Nós gostamos de conversar.	NÓS CONVERSAR GOSTAR
Nós não nos importamos com o que ele faz.	NÓS ELE NÓS O IMPORTAR FAZER (NÃO)
Meu irmão tem muito prazer em sua coleção de selos.	IRMÃO MEU COLEÇÃO SEU PRAZER SELOS TER
Eles deixaram a sala muito silenciosamente.	SILENCIOSO ELES SALA DEIXAR
Eu cheguei tarde como resultado do atraso do trem.	TARDE COMO EU ATRASO RESULTADO TREM CHEGAR
Eu darei o melhor de mim.	EU MELHOR EU DAR
Ela se diferencia dos outros no ponto em que ela tem um objetivo certo.	ELA OUTROS CERTO PONTO OBJETIVO DIFERENCIAR TER
Essa rua o levará ao centro da cidade.	RUA ESSE CENTRO O CIDADE LEVAR
Mary e eu nos conhecemos há muitos anos.	DT(M-A-R-Y) EU MUITOS NÓS HAVER ANOS HAVER CONHECER
Você pode se arrepender disso, mas isso não lhe fará nenhum bem no momento.	VOCÊ ISSO ARREPENDER PODER MAS BEM ISSO NENHUM LHE MOMENTO FAZER (NÃO)
Eu estou ansioso acerca dos resultados do exame.	EU ACERCA ANSIOSO RESULTADOS EXAME
Eu acabei de chegar aqui.	AQUI EU CHEGAR ACABAR
Tirando as cenouras, não há nada que ele não coma.	ELE TIRAR CENOURAS NADA COMA HAVER (NÃO)
Tom está tocando violino agora.	AGORA DT(T-O-M) VIOLINO TOCAR
A ela não agradava viver na cidade.	CIDADE VIVER ELE AGRADAR (NÃO)
Eu não tenho paciência.	EU PACIÊNCIA NÃO_TER {NÃO}(headshake)
Eles gostam de Tsuneoki Ikeda.	ELES DT(T-S-U-N-E-O-K-I) DT(I-K-E-D-A) GOSTAR
Ele voltou para casa via Hong Kong.	CASA ELE HONG KONG VER VOLTAR
Não se pode fazer omeletes sem quebrar os ovos.	OMELETES QUEBRAR OVOS FAZER PODER (NÃO)
Vale a pena ler estes livros pelo menos uma vez.	PELO MENOS ESTE PENA LER LIVRO UMA VEZ ELE VALER
Ele acha muito difícil passar um dia sem cigarros.	ELE DIFÍCIL PASSADO DIA CIGARROS PASSADO ACHAR
Ela é muito inteligente.	INTELIGENTE
O que ele está dizendo não faz sentido algum.	ALGUM O ELE SENTIDO DIZER FAZER (NÃO)
Houve um engavetamento na rodovia.	ENGAVETAMENTO RODOVIA HAVER
Eu fico assustado só de passar por ele.	SÓ EU FICAR EU DELE FICAR ASSUSTAR PASSADO
Ei, quais são as novas?	EIS NOVAS QUAIS (NÃO)
Deus criou o mundo.	DEUS MUNDO CRIAR
Seja lá quão ocupado você esteja, você deve fazer seu dever de casa.	LÁ QUÃO VOCÊ VOCÊ SEU OCUPAR DEVER CASA FAZER DEVER
Nós tomamos parte na discussão.	NÓS PARTE DISCUSSÃO TOMAR
Que horas são no seu relógio?	{HORAS RELÓGIO SEU}(q)
Nós nunca tivemos uma explicação clara do mistério.	CLARO NÓS EXPLICAÇÃO MISTÉRIO TER NUNCA NÃO
Minha voz está rouca por causa do resfriado.	MEU VOZ ROUCO CAUSA RESFRIADO
Isso é com você.	ISSO VOCÊ
Por mim tanto faz.	TANTO EU FAZER
Isso é suficiente para cinco dias.	ISSO SUFICIENTE 5 DIA
Eu nunca estive dentro da classe.	DENTRO EU CLASSE NUNCA NÃO
Diga-me o que aconteceu com ele.	EU O DELE DIZER ACONTECER
Não há espaço para dúvidas.	ESPAÇO DÚVIDAS HAVER (NÃO)
Tom lidera o time de futebol.	DT(T-O-M) TIME FUTEBOL LIDERAR
Nós geralmente comemos peixe cozido.	GERAL NÓS PEIXE COMER COZER
Ela afastou sua cabeça de uma janela.	CABEÇA JANELA SEU ELE AFASTAR
Não seja tão rígido com as crianças.	TÃO RÍGIDO CRIANÇAS (NÃO)
Verde veste bem em você.	BEM VERDE VOCÊ VESTIR
Ele se beneficiou com a chuva.	ELE CHUVA BENEFICIAR
O homem implorou por piedade, mas foi sentenciado a vinte anos de cadeia por seu crime.	HOMEM PIEDADE ELE IMPLORAR MAS ANO SEU 20 CADEIA CRIME SENTENCIAR
Ela não telefonou no final de contas.	FINAL CONTAS ELE TELEFONAR (NÃO)
Eu devolvi os livros que havia retirado da biblioteca, e retirei alguns novos.	EU LIVRO BIBLIOTECA DEVOLVER RETIRAR ALGUM NOVOS EU RETIRAR
Eles não têm senso algum de pecaminosidade.	ELES SENSO ALGUM PECAMINOSIDADE (NÃO)
Estes tipos de livro quase não têm valor.	TIPOS ESTE LIVRO VALOR TER AINDA_{NÃO}(headshake)
Eu temo que uma promoção esteja fora de questão agora.	FORA EU PROMOÇÃO TEMER QUESTÃO AGORA
Ele sempre presta atenção no comportamento de suas crianças.	SEMPRE ELE SEU PRESTO ATENÇÃO COMPORTAMENTO CRIANÇAS
Então o capitão tomou conta dele.	ENTÃO CAPITÃO CONTA DELE TOMAR
Cheia de pesar, a garota olhou para ele nos olhos.	MULHER GAROTO CHEIA PESAR ELE OLHO OLHAR
Vamos visitar meu avô nessa semana.	MEU ESSE AVÔ SEMANA VISITAR
Quando o mundo encontrará seu fim?	MUNDO FIM SEU ENCONTRAR QUANDO (NÃO)
Eu achei que precisava fazer isso.	EU PRECISAR ISSO FAZER ACHAR
Ele bebeu uma xícara de café.	ELE XÍCARA CAFÉ BEBER
Você tem uma camisinha?	{VOCÊ CAMISA PEQUENO TER}(q)
Está chovendo.	CHOVER
Está frio.	FRIO
O filme durou 2 horas.	FILME 2 HORA DURAR
Infelizmente eu não cheguei a tempo para seu discurso.	INFELIZ EU TEMPO SEU DISCURSO CHEGAR (NÃO)
Você não está cansado?	{VOCÊ CANSAR}(q)
Na sua idade você deveria se bancar sozinho.	VOCÊ SÓ IDADE SEU BANCAR DEVER
Você deveria ter respondido a carta dele.	VOCÊ RESPONDER CARTA DELE RESPONDER DEVER
Nós fomos para a escola de artes para estudar pintura e escultura.	NÓS ARTE ESCOLA PINTURA ESCULTURA IR ESTUDAR
Quantas paradas daqui?	AQUI PARADAS QUANTAS (NÃO)
Muito obrigado por tudo que você tem feito.	VOCÊ TUDO FAZER
Ele construiu uma mesa e dois bancos para nós.	ELE 2 MESA BANCO NÓS CONSTRUIR
Nenhum dos seus alunos passou no exame.	NENHUM ALUNOS EXAME SEU PASSADO
Podemos acompanhá-lo em sua caminhada?	{CAMINHADA SEU ACOMPANHAR NÓS PODER}(q)
Me ocorre que eu deixei minha bolsa no trem.	EU MEU DEIXAR EU BOLSA TREM OCORRER
Eu devo chegar lá pelas 9 horas.	LÁ EU 9 HORA CHEGAR DEVER
Eu tenho uma passagem de volta para Tóquio.	EU PASSAGEM VOLTA TÓQUIO TER
Ele reclamou por ter sido tratado injustamente.	INJUSTO ELE TRATAR RECLAMAR
Me dê uma carona em seu carro.	CARONA SEU EU CARRO DAR
Aquela casa é bem melhor do que esta.	BEM DO QUE CASA AQUELE MELHOR ESTA
O novo ano escolar começa em abril no Japão.	NOVO ESCOLAR ANO ABRIL JAPÃO COMEÇAR
Ele investigou o assalto em detalhes.	ELE ASSALTO DETALHES INVESTIGAR
Ele perdeu sua memória.	ELE MEMÓRIA SEU PERDER
As pessoas de Londres são bastante orgulhosas desta ponte.	PESSOA ESTE ORGULHOSAS LONDRES PONTE BASTANTE
A força sempre prevalece no reino dos insetos.	SEMPRE FORÇA REINO INSETOS PREVALECER
Estou surpreso de te ver aqui.	AQUI SURPRESO TU VER
Calcula-se que os oceanos aumentarão em 50 centímetros por volta do final do próximo século.	PRÓXIMO CALCULAR OCEANO 50 VOLTA CENTÍMETRO FINAL SÉCULO AUMENTAR
Quase todos os alunos gostam de inglês.	QUASE TODO ALUNOS INGLÊS GOSTAR
Eu gosto dessa canção; ela tem um ritmo cativante e pode-se dançar ao som dela.	EU CANÇÃO CATIVANTE RITMO GOSTAR TER SOM DANÇAR ELE PODER
Pessoas que falam a todo tempo sobre si próprios me entediam.	PRÓPRIOS PESSOA TODO TEMPO SI EU FALAR ENTEDIAR
Ela está paralisada em ambas pernas.	AMBOS PARALISAR PERNAS
Com licença, onde fica a seção de calçados masculinos?	LICENÇA SEÇÃO CALÇADOS MASCULINOS FICAR ONDE (NÃO)
O que você faria se visse um homem de outro planeta?	{O VOCÊ OUTRO PLANETA HOMEM FAZER VER}(q)
Ela é uma discípula de Freud.	MULHER DISCÍPULO DT(F-R-E-U-D)
Desde que ele se feriu em um acidente, ele não pôde mais andar.	ELE ELE DESQUE ACIDENTE MAIS FERIR ANDAR PODER (NÃO)
Errar é humano; perdoar é divino.	ERRAR HUMANO PERDOAR
Você não deveria ser impaciente com crianças.	VOCÊ IMPACIENTE CRIANÇAS DEVER (NÃO)
Ela está nervosa comigo.	COMIGO NERVOSO
Ela se orgulha de sua habilidade com culinária.	HABILIDADE CULINÁRIA SEU ELE ORGULHAR
Você adivinhou.	VOCÊ ADIVINHAR
Ele leu uma passagem de Shakespeare.	ELE PASSAGEM DT(S-H-A-K-E-S-P-E-A-R-E) LER
Ele me implorou para ficar.	ELE EU FICAR IMPLORAR
Foi cinco dias depois de ter graduado que minha filha deixou o aeroporto de Osaka para a Alemanha.	DIA 5 ELE IR DEPOIS MULHER FILHO AEROPORTO MEU DEIXAR OSAKA A ALEMANHA GRADUAR
A morte de minha mãe deixou um grande vazio em minha vida.	GRANDE MORTE MEU MÃE VAZIO VIDA MEU DEIXAR
Eu posso dizer que você é uma filha que dispende grande cuidado por seus pais.	EU VOCÊ SEU PODER GRANDE MULHER FILHO CUIDADO PAIS DIZER DISPENDE
Brinque ou estude - a escolha é sua.	ELE BRINCAR OU ESCOLHA SEU
Havia uma grande audiência no concerto.	AUDIÊNCIA CONCERTO ELE TER MUITO
Ela me entregou a cesta e sugerir que eu esperasse até chegar em casa para abri-la, no caso de alguém estar olhando.	EU CESTA ENTREGAR EU ALGUÉM ESPERAR ABRIR CASA CHEGAR OLHAR SUGERIR
Parques são para a cidade aquilo que pulmões são para o animal.	PARQUES AQUILO PULMÕES CIDADE ANIMAL
Qual é o nome desta rua, por favor?	NOME ESTE FAVOR RUA QUAL (NÃO)
Eu confessei meu pecado.	EU PECADO MEU CONFESSAR
Ela está orgulhosa do fato que seu filho se tornou um doutor.	ORGULHOSO FILHO FATO DOUTOR SEU TORNAR
O que é isto?	{O ELE}(q)
Eu não sei se tenho tempo para isso.	EU TEMPO TER ISSO NÃO_SABER {NÃO}(headshake)
A maioria das pessoas acham que eu sou louco.	MAIORIA EU PESSOA ACHAR LOUCO
Se eu soubesse disso, eu teria lhe contado.	SE EU EU LHE SABER ISSO CONTAR
Eu não havia a visto.	EU VISTO HAVER (NÃO)
Mayuko sonhou um sonho estranho.	ESTRANHO DT(M-A-Y-U-K-O) SONHO SONHAR
Ele nunca mantém sua palavra.	ELE PALAVRA SEU MANTER NUNCA NÃO
Uma viagem à América está fora de cogitação.	FORA VIAGEM AMÉRICA COGITAÇÃO
Te vejo amanhã na biblioteca!	AMANHÃ TU VER BIBLIOTECA
Espero que você tenha uma boa viagem.	VOCÊ TER BOM VIAGEM ESPERAR
Johnson é um recluso; ele prefere se isolar do resto dos alunos de nossa classe.	RECLUSO ELE DT(J-O-H-N-S-O-N) NOSSO PREFERIR RESTO ALUNOS CLASSE ISOLAR
Eu não gostava disso.	EU ISSO GOSTAR (NÃO)
Está chovendo, mas eu gostaria de ir para fora.	CHOVER MAS FORA EU IR GOSTAR
Eu gostaria de ver este filme.	EU ESTE FILME VER GOSTAR
Eles brigaram.	ELES BRIGAR
Você deixou gorjeta?	{VOCÊ GORJETA DEIXAR}(q)
Eu não lhe contei a verdade com medo de ferir seus sentimentos.	EU MEDO SEU LHE VERDADE SENTIMENTOS CONTAR FERIR (NÃO)
Mesmo as pessoas que não creem na igreja católica veneram o papa como autoridade simbólica.	MESMO CATÓLICO COMO SIMBÓLICO PESSOA IGREJA PAPA AUTORIDADE VENERAR CREEM (NÃO)
Estou desempregado, e por isso não posso poupar nada.	DESEMPREGAR ISSO NADA POUPAR EU PODER (NÃO)
Isto é entre mim e você.	ISTO É EU VOCÊ
Eu gosto de ter um monte de coisas para fazer.	EU MONTE COISA TER GOSTAR FAZER
Ele está tão falante quanto sempre foi.	TÃO FALANTE ELE IR
Eu lamento informá-lo que sua matrícula foi negada.	EU LAMENTAR MATRÍCULA SEU NEGAR INFORMAR
Ele deu uma resposta positiva à minha questão.	POSITIVO ELE RESPOSTA QUESTÃO MEU DAR
Você terá que se desculpar quando vê-lo.	VOCÊ DESCULPAR QUANDO O
Que vergonhoso!	VERGONHOSO
Nenhum desses ônibus vai para Shinjuku.	NENHUM ÔNIBUS SHINJUKU IR
Ele disse que eu precisava ir.	ELE EU PRECISAR IR DIZER
Não fique nervoso.	NERVOSO ELE FICAR (NÃO)
Nosso conhecimento acerca do problema é bastante limitado.	ACERCAR CONHECIMENTO PROBLEMA NOSSO BASTANTE LIMITAR
Nada é tão precioso quanto a saúde.	TÃO NADA PRECIOSO SAÚDE
Pare de me pedir um drinque! Vá e pegue um você mesmo.	EU DRINQUE PARIR PEDIR EU IR MESMO VOCÊ PEGAR
Quanto mais velho você for, mais difícil é para aprender uma língua.	QUANTO MAIS DIFÍCIL APRENDER LÍNGUA MAIS IR
Eles estão tomando café da manhã às 8 nesta semana.	ELES ESTE MANHÃ CAFÉ 8 SEMANA TOMAR
Já que eu perdi o trem, eu tive que esperar pelo outro por cerca de uma hora.	CERCA JÁ QUE EU TREM HORA ESPERAR OUTRO PERDER
Eu o conheci quando eu era estudante.	EU O CONHECER QUANDO EU ESTUDANTE
Eu não posso aceitar este presente.	EU ESTE PRESENTE ACEITAR PODER (NÃO)
Estando tão cansado, ele adormeceu rapidamente.	TÃO ELE RAPIDAMENTE CANSAR ADORMECER
Eu jamais gostei de biologia.	EU BIOLOGIA GOSTAR (NÃO)
Os supermercados estão fechados agora, portanto nós teremos que nos virar com o que resta na geladeira.	AGORA SUPERMERCADOS FECHAR PORTANTO NÓS NÓS O GELADEIRA VIRAR TER RESTAR
Você deveria ter mantido isto em segredo.	VOCÊ ELE SEGREDO MANTER DEVER
Quando eu crescer eu quero ser rei.	QUANDO EU EU CRESCER QUERER REIR
Você tem certeza.	VOCÊ CERTEZA TER
Apenas fique ali, por favor.	ALI APENAS FAVOR ELE FICAR
Ele saiu para caminhar por duas horas.	ELE CAMINHAR 2 HORA SAIR
Eu estou cansado.	EU CANSAR
Muiriel tem 20 anos agora.	AGORA DT(M-U-I-R-I-E-L) 20 ANO TER
Eu gosto do jeito que você anda.	EU VOCÊ JEITO GOSTAR ANDAR
Ele tem pouco dinheiro consigo.	ELE DINHEIRO POUCO TER TER
Isso é realmente um problema.	REAL ISSO PROBLEMA
Você deve ler nas entrelinhas.	VOCÊ ENTRELINHAS LER DEVER
Volto logo.	LOGO EU VOLTAR
A maioria das pessoas acha que computadores nunca serão capazes de pensar.	MAIORIA COMPUTADORES PESSOA ACHAR CAPAZES PENSAR NUNCA NÃO
John e Mary se conhecem desde 1976.	DT(J-O-H-N) DT(M-A-R-Y) 1976 CONHECER
Não há nada que eu goste mais de fazer do que assistir jogos de basebol na TV.	DO QUE EU BASEBOL NADA TV MAIS FAZER ASSISTIR GOSTAR HAVER (NÃO)
É uma vantagem saber operar um computador.	VANTAGEM SABER COMPUTADOR OPERAR
Eu ganho €100 por dia.	DIA EU 0 GANHAR
Diga a ela qual ela deve pegar.	ELA DEVER PEGAR DIZER
O que é isso? Perguntou Tony.	{O ISSO DT(T-O-N-Y) PERGUNTAR}(q)
Faça-me o favor de passar o sal.	EU FAVOR SAL FAZER PASSADO
Este elevador é capaz de carregar 10 pessoas por vez.	ELEVADOR CAPAZ ESTE PESSOA VEZ 10 CARREGAR
Eu os telefonarei quando voltar amanhã.	EU OS TELEFONAR QUANDO AMANHÃ VOLTAR
É ilegal copiar de livros sem a permissão do autor.	ILEGAL COPIAR LIVRO PERMISSÃO AUTOR
Eu imagino que ele esteja doente.	EU ELE DOENTE IMAGINAR
Estes dois irmãos lembram um ao outro.	UM AO OUTRO IRMÃO ESTE 2 LEMBRAR
Há muitas coisas sobre as quais devemos pensar.	COISA MUITAS HAVER PENSAR NÓS DEVER
Ele desapareceu sem deixar rastros.	ELE DEIXAR RASTROS DESAPARECER
Ele cogita se você tem medo de cobras.	ELE SE VOCÊ MEDO TER COBRAS COGITAR
Eu posso falar com Bill?	{EU DT(B-I-L-L) FALAR PODER}(q)
Sinto sua falta.	SEU EU SENTIR
Ele não está no mínimo interessado com o que está acontecendo no mundo.	MÍNIMO ELE O MUNDO INTERESSAR ACONTECER (NÃO)
Concordo.	EU CONCORDAR
Eu não estou acostumado a beber café sem açúcar.	EU CAFÉ ACOSTUMAR AÇÚCAR BEBER (NÃO)
O dicionário contém cerca de meio milhão de palavras.	CERCA DICIONÁRIO 1000000 PALAVRA CONTER
Três crianças estavam brincando no parque.	CRIANÇA 0 PARQUE BRINCAR
Qual destes garotos é Masao?	DT(M-A-S-A-O) GAROTOS QUAL (NÃO)
Você já teve barba?	{JÁ VOCÊ BARBA TER}(q)
Por favor me ajude.	EU AJUDAR
Ele lembra sua mãe.	ELE MÃE SEU LEMBRAR
Há um ônibus escolar?	{ESCOLAR ÔNIBUS HAVER}(q)
Me é impossível explicar isso para você.	IMPOSSÍVEL VOCÊ ISSO
Eu criei um atalho no desktop.	EU ATALHO DESKTOP CRIAR
Este chá é bom.	CHÁ ESTE BOM
Não devíamos ser forçados a aprender. Devíamos ser encorajados a aprender.	FORÇAR APRENDER NÓS DEVER NÃO ENCORAJAR APRENDER NÓS DEVER (NÃO)
Seu cão o segue para onde quer que ele vá.	ONDE CÃO ELE SEU IR O QUERER SEGUIR
O topo da árvore está com a mesma altura que a cerca.	CERCA TOPO MESMA ÁRVORE ALTURA
Nos anos 50 os finlandeses eram citados como aqueles que tinham uma das dietas alimentares menos saudáveis do mundo.	FINLANDÊS ANO MENOS 50 AQUELES DIETA ALIMENTAR MUNDO SAUDÁVEL CITAR TER
Ouvimos falar constantemente sobre uma crise energética nestes dias.	CONSTANTE ESTE CRISE ENERGÉTICO DIA FALAR NÓS OUVIR
Ele é meu irmão.	ELE IRMÃO MEU
Eu sou casado e tenho dois filhos.	EU CASAR 2 FILHO EU TER
A economia japonesa desenvolveu-se rapidamente.	RAPIDAMENTE JAPONÊS DESENVOLVER
Eu espero por isso.	EU ISSO ESPERAR
Como o céu está azul!	COMO CÉU AZUL
Minha casa foi arrombada enquanto estive ausente.	MEU CASA ARROMBAR ENQUANTO AUSENTE
Apresse-se!	ELE APRESSAR
Ela nunca está online, mesmo durante suas férias.	ONLINE SEU MESMO FÉRIAS NUNCA NÃO
Ele é jovem, mas tem experiência.	ELE JOVEM MAS EXPERIÊNCIA ELE TER
Sua mulher está no hospital, ela se feriu em um acidente automotivo.	HOSPITAL SEU MULHER ACIDENTE AUTOMOTIVO FERIR
A escola começa na próxima segunda.	PRÓXIMO ESCOLA SEGUNDA COMEÇAR
Obrigado pela informação.	INFORMAÇÃO
Por que você me acordou para me contar algo tão importante? Agora eu não vou conseguir me concentrar no meu trabalho nunca!	{TÃO VOCÊ IMPORTANTE EU EU CONTAR ALGO ACORDAR AGORA EU TRABALHO MEU EU CONCENTRAR CONSEGUIR}(q)
Não permaneçam na cama, a não ser que vocês possam ganhar dinheiro nela.	A NÃO SER QUE VOCÊS CAMA PODER DINHEIRO GANHAR PERMANECER (NÃO)
Jason era um indivíduo taciturno, de forma que era sempre uma verdadeira surpresa quando ele dizia algo.	SEMPRE INDIVÍDUO DT(J-A-S-O-N) FORMA VERDADEIRO SURPRESA QUANDO ELE ALGO DIZER
Vamos fazer um teste de gravidez.	TESTE GRAVIDEZ FAZER
Eu não sei quando ela pode vir.	EU NÃO_SABER QUANDO VIR ELE PODER {NÃO}(headshake)
Os cristãos creem em Jesus Cristo.	CRISTÃOS JESUS CRISTO CREEM
Eu quero um barco que me leve para bem longe daqui.	BEM EU BARCO EU LONGE AQUI QUERER LEVAR
Segundo o rádio, choverá amanhã.	AMANHÃ RÁDIO ELE CHOVER
Esta toalha é áspera ao toque.	TOALHA ESTE ÁSPERO TOQUE
Vimos a montanha à distância.	MONTANHA DISTÂNCIA NÓS VIR
Siga o exemplo dele.	EXEMPLO DELE SEGUIR
É a nossa estação chuvosa.	CHUVOSO ESTAÇÃO NOSSO
Não sou rico, e também não penso em ser.	RICO NÃO ESTAR CERTO EU PENSAR AINDA_{NÃO}(headshake)
Ele está desempregado por um mês.	ELE DESEMPREGAR MÊS
Ele é o chefe de sua tribo por 35 anos.	ELE CHEFE TRIBO SEU 35 ANO
Ele me mostrou como usar sua câmera.	COMO ELE SEU EU CÂMERA USAR MOSTRAR
Ele não tem que fazer isso.	ELE ISSO FAZER (NÃO)
Tenho conta naquele banco.	AQUELE CONTA BANCO EU TER
Ele vem vagando pela Europa por meses.	ELE EUROPA MESES VAGAR VIR
A máquina de lavar roupas é uma invenção incrível.	MÁQUINA ROUPAS INCRÍVEL INVENÇÃO LAVAR
Ficarei aqui por um breve período de tempo.	AQUI BREVE TEMPO EU FICAR
Ela está grávida por oito meses.	GRÁVIDA 8 MÊS
Você pode abrir a porta?	{VOCÊ PORTA ABRIR PODER}(q)
É típico dele se comportar assim.	ASSIM TÍPICO DELE
Então finalmente nos conhecemos! Eu esperei muito por este momento.	ENTÃO FINAL NÓS CONHECER EU ESTE MOMENTO ESPERAR
O cachorro correu atrás do gato.	ATRÁS CACHORRO GATO CORRER
Meu pai comprou uma câmera para mim.	PAI CÂMERA MEU EU COMPRAR
Apresse-se.	ELE APRESSAR
Rosa Montero é uma mulher extraordinária.	DT(R-O-S-A) DT(M-O-N-T-E-R-O) EXTRAORDINÁRIO MULHER
Dinheiro demais?	{DEMAIS DINHEIRO}(q)
Vestidos longos estiveram na moda.	VESTIDOS MODA
Dr. Patterson: de maneira alguma! Koko nos ensinou que gorilas são espertos a ponto de aprender a linguagem de sinais.	DR. DT(P-A-T-T-E-R-S-O-N) MANEIRA ALGUM GORILAS DT(K-O-K-O) ESPERTOS LINGUAGEM SINAIS APRENDER ENSINAR
Os olhos dele são azuis.	OLHO AZUIS
Em dias quentes os mantimentos se estragam mais rápido.	QUENTES MANTIMENTOS RÁPIDO DIA MAIS ESTRAGAR
Corte o alho francês em rodelas e lave em água corrente.	ALHO CORTE FRANCÊS RODELAS CORRENTE ÁGUA ELE LAVAR
Pele as batatas e as cenouras.	PELE BATATAS CENOURAS
Junte a maionese.	MAIONESE ELE JUNTAR
Corte o pão na diagonal em fatias com cerca de 1 dedo de espessura.	CORTE PÃO DIAGONAL 1 FATIA DEDO ESPESSURA
